titratable_acidity,fat_milk_over_100mg_,pH_sour_milk_initial,streptococcus_strain_,lactobacillus_strain_,minimum_milk_proteins,ideal_temperature_c,quality_product
1.067,1.995,4.472,4.245,5.961,2.641,40.172,Low fat yogurt
0.984,2.171,4.483,4.547,4.472,2.575,41.45,Low fat yogurt
1.17,3.3323,4.52,5.35,4.978,2.6,41.584,Regular yogurt
0.986,3.5675,4.48,4.383,5.95,2.468,40.721,Regular yogurt
1.087,2.9981,4.598,4.787,5.666,2.488,40.094,Low fat yogurt
1.12,3.7611,4.563,5.869,4.608,2.434,40.415,Regular yogurt
1.014,1.7825,4.595,4.112,5.849,2.529,41.054,Low fat yogurt
1.04,3.0506,4.491,4.585,4.872,2.589,40.025,Low fat yogurt
1.148,3.3154,4.542,5.261,4.864,2.408,41.684,Regular yogurt
1.118,3.9126,4.551,4.857,5.623,2.662,41.666,Regular yogurt
0.979,1.891,4.465,5.695,5.201,2.697,40.356,Low fat yogurt
0.963,1.9399,4.526,5.88,5.43,2.532,41.713,Low fat yogurt
1.118,2.0035,4.585,5.278,4.828,2.468,41.553,Low fat yogurt
1.085,3.4612,4.553,5.16,4.622,2.67,41.166,Regular yogurt
0.96,2.8328,4.503,5.144,5.932,2.533,41.366,Low fat yogurt
0.986,3.6059,4.582,5.381,4.876,2.452,41.995,Regular yogurt
1.147,3.306,4.414,5.692,4.648,2.446,40.416,Regular yogurt
1.167,2.0093,4.43,4.755,4.601,2.562,41.865,Low fat yogurt
1.001,3.4693,4.443,5.769,4.811,2.493,41.455,Regular yogurt
1.168,2.4304,4.52,4.797,4.378,2.511,40.597,Low fat yogurt
1.025,2.2352,4.453,4.298,5.563,2.501,40.592,Low fat yogurt
1.142,3.5092,4.43,4.115,4.133,2.536,41.002,Regular yogurt
0.951,2.512,4.505,4.073,4.05,2.481,40.728,Low fat yogurt
1.104,2.2219,4.587,4.76,4.333,2.46,41.924,Low fat yogurt
1.026,1.9102,4.596,4.107,4.284,2.633,41.24,Low fat yogurt
1.17,1.1351,4.48,5.671,4.774,2.478,41.945,Low fat yogurt
1.073,2.271,4.411,5.01,5.646,2.525,41.841,Low fat yogurt
1.02,1.9277,4.454,5.103,4.767,2.61,40.449,Low fat yogurt
1.092,2.4723,4.442,4.904,4.543,2.58,41.171,Low fat yogurt
0.95,3.2407,4.592,4.309,5.916,2.551,40.713,Low fat yogurt
0.954,1.3387,4.461,4.677,5.141,2.643,40.037,Low fat yogurt
1.088,2.8728,4.457,4.117,4.124,2.679,41.593,Low fat yogurt
1.054,1.0018,4.546,5.311,5.97,2.469,40.005,Non fat yogurt
0.964,1.802,4.489,4.876,5.726,2.537,40.721,Low fat yogurt
1.127,1.1662,4.523,4.065,4.271,2.402,40.52,Low fat yogurt
1.037,3.585,4.486,4.29,5.288,2.499,40.316,Regular yogurt
1.179,3.2535,4.482,4.417,4.338,2.679,41.362,Regular yogurt
0.97,1.5086,4.431,5.2,5.733,2.647,41.81,Low fat yogurt
0.961,3.5151,4.493,5.043,5.4,2.584,41.362,Regular yogurt
1.102,2.0787,4.523,4.639,5.341,2.508,40.139,Low fat yogurt
1.146,1.3712,4.551,5.497,4.97,2.446,40.874,Low fat yogurt
0.959,3.9372,4.505,4.353,5.129,2.623,41.6,Regular yogurt
1.063,2.2762,4.418,5.04,5.28,2.441,41.455,Low fat yogurt
1.098,3.7385,4.548,4.046,5.872,2.449,40.624,Regular yogurt
1.154,3.3149,4.486,4.288,4.806,2.469,40.429,Regular yogurt
1.016,2.4167,4.567,4.245,4.945,2.621,41.421,Low fat yogurt
1.072,1.5872,4.561,4.825,5.837,2.55,40.245,Low fat yogurt
0.976,1.8675,4.404,5.499,5.019,2.575,40.171,Low fat yogurt
1.111,1.3901,4.498,5.817,4.589,2.435,40.232,Low fat yogurt
1.042,3.3196,4.455,5.07,4.641,2.51,40.887,Regular yogurt
1.097,3.2849,4.558,4.575,4.644,2.406,41.693,Regular yogurt
0.95,1.7789,4.414,5.794,5.826,2.43,40.866,Low fat yogurt
1.161,2.8881,4.479,4.975,4.072,2.47,41.44,Low fat yogurt
1.006,2.8391,4.564,5.825,5.484,2.416,40.317,Low fat yogurt
1.012,3.6317,4.402,4.281,5.772,2.479,41.493,Regular yogurt
0.956,3.661,4.469,5.405,5.056,2.62,41.689,Regular yogurt
1.02,1.3071,4.479,5.652,5.524,2.576,40.684,Low fat yogurt
1.104,3.5226,4.447,4.928,4.408,2.664,40.541,Regular yogurt
0.993,1.3566,4.498,4.529,5.323,2.564,41.47,Low fat yogurt
1.142,3.3434,4.532,4.027,4.484,2.539,40.092,Regular yogurt
1.03,2.1467,4.538,5.525,5.233,2.479,41.485,Low fat yogurt
1.075,1.1248,4.473,5.033,5.952,2.654,40.308,Low fat yogurt
1.137,1.393,4.468,4.252,5.757,2.465,40.151,Low fat yogurt
1.178,1.5478,4.59,5.602,5.556,2.423,41.513,Low fat yogurt
0.981,2.9976,4.45,4.01,4.501,2.535,40.702,Low fat yogurt
1.067,1.518,4.536,4.168,4.363,2.495,41.281,Low fat yogurt
1.063,3.8658,4.437,4.282,4.925,2.522,41.412,Regular yogurt
0.993,3.7653,4.432,4.545,5.765,2.466,41.09,Regular yogurt
1.042,1.5004,4.519,5.833,4.585,2.497,41.121,Low fat yogurt
0.986,3.6233,4.426,4.367,5.132,2.675,40.504,Regular yogurt
1.061,1.649,4.55,4.5,5.17,2.678,41.914,Low fat yogurt
1.129,2.9654,4.42,4.062,5.817,2.689,41.019,Low fat yogurt
1.186,1.1126,4.502,5.483,4.923,2.578,40.393,Low fat yogurt
1.079,3.635,4.423,4.532,5.291,2.495,41.036,Regular yogurt
1.153,1.1237,4.559,4.453,5.632,2.622,40.795,Low fat yogurt
1.081,1.4007,4.56,5.238,5.205,2.564,41.423,Low fat yogurt
0.961,1.4786,4.509,5.192,5.561,2.408,41.427,Low fat yogurt
0.968,1.0664,4.506,4.208,5.057,2.647,40.3,Non fat yogurt
0.973,2.6579,4.547,4.406,5.595,2.435,41.345,Low fat yogurt
1.152,2.4115,4.403,5.902,4.58,2.61,41.603,Low fat yogurt
1.179,2.0112,4.412,4.791,4.973,2.524,41.331,Low fat yogurt
1.176,1.3418,4.564,5.006,5.679,2.542,41.991,Low fat yogurt
1.135,3.3047,4.537,4.632,5.542,2.603,40.109,Regular yogurt
1.123,2.6687,4.491,4.553,4.162,2.604,41.511,Low fat yogurt
1.159,2.6972,4.557,5.817,5.006,2.436,40.387,Low fat yogurt
0.97,1.2911,4.411,4.302,4.179,2.59,40.759,Low fat yogurt
1.179,2.8584,4.525,4.064,4.837,2.419,41.064,Low fat yogurt
0.971,1.912,4.555,5.695,5.158,2.439,41.467,Low fat yogurt
1.088,2.2785,4.524,4.246,5.534,2.472,40.185,Low fat yogurt
1.17,2.337,4.436,5.799,5.813,2.484,41.023,Low fat yogurt
1.08,2.8183,4.446,5.51,4.564,2.54,41.212,Low fat yogurt
1.127,2.9796,4.439,4.47,5.015,2.487,41.285,Low fat yogurt
0.984,3.9831,4.515,4.835,4.519,2.418,40.196,Regular yogurt
0.959,1.7209,4.519,4.062,5.98,2.594,41.163,Low fat yogurt
1.056,2.9202,4.523,4.846,4.145,2.577,40.342,Low fat yogurt
1.032,1.3317,4.553,5.686,5.166,2.688,41.543,Low fat yogurt
1.112,1.1667,4.436,5.983,4.998,2.529,41.268,Low fat yogurt
1.176,2.8124,4.57,5.588,5.19,2.505,41.409,Low fat yogurt
1.121,3.0348,4.412,5.856,4.375,2.601,40.697,Low fat yogurt
1.02,3.0296,4.558,4.32,5.784,2.634,40.019,Low fat yogurt
1.013,1.5646,4.558,4.442,5.193,2.566,40.503,Low fat yogurt
1.185,2.5796,4.586,5.795,4.357,2.415,41.425,Low fat yogurt
1.119,3.6583,4.463,4.233,5.692,2.403,41.91,Regular yogurt
1.026,2.0651,4.448,5.749,5.149,2.482,40.644,Low fat yogurt
0.958,3.574,4.53,4.254,5.856,2.524,40.401,Regular yogurt
1.148,2.5896,4.424,5.13,4.982,2.516,41.559,Low fat yogurt
1.051,3.2821,4.554,4.325,5.912,2.553,40.889,Regular yogurt
1.1,2.5112,4.431,4.806,5.35,2.401,41.967,Low fat yogurt
1.161,3.4669,4.567,5.554,5.683,2.545,41.84,Regular yogurt
1.006,1.8772,4.589,5.338,4.963,2.604,40.729,Low fat yogurt
1.051,2.4375,4.423,4.489,5.245,2.592,40.726,Low fat yogurt
0.986,3.2969,4.489,4.936,4.142,2.424,41.558,Regular yogurt
1.184,3.3909,4.536,5.086,4.532,2.676,40.16,Regular yogurt
1.161,3.1657,4.489,4.594,4.523,2.452,40.206,Low fat yogurt
1.027,1.7493,4.402,4.678,4.912,2.56,41.258,Low fat yogurt
1.073,1.6256,4.48,5.581,5.525,2.553,40.873,Low fat yogurt
1.186,3.4495,4.522,5.055,4.295,2.575,41.339,Regular yogurt
1.148,3.678,4.483,5.233,5.178,2.468,41.166,Regular yogurt
0.965,2.5336,4.418,4.018,5.077,2.599,40.419,Low fat yogurt
1.001,3.8748,4.48,4.801,4.708,2.522,40.915,Regular yogurt
1.091,1.3745,4.538,4.906,4.901,2.694,41.175,Low fat yogurt
1.074,1.4746,4.558,5.759,4.683,2.693,40.57,Low fat yogurt
1.001,2.4996,4.579,4.488,5.158,2.63,40.575,Low fat yogurt
1.15,3.26,4.587,4.131,4.734,2.468,40.968,Regular yogurt
1.009,1.2417,4.534,5.554,5.513,2.518,41.352,Low fat yogurt
1.088,1.3148,4.417,4.983,5.85,2.599,40.492,Low fat yogurt
0.963,1.4475,4.438,5.655,4.309,2.612,41.466,Low fat yogurt
1.027,2.8992,4.512,5.795,4.08,2.479,41.324,Low fat yogurt
0.985,3.1171,4.592,4.933,4.713,2.59,41.272,Low fat yogurt
1.045,2.1782,4.599,4.041,4.391,2.664,41.058,Low fat yogurt
1.165,1.939,4.436,4.675,5.418,2.53,41.251,Low fat yogurt
0.989,3.8848,4.408,4.045,5.264,2.459,40.339,Regular yogurt
1.184,1.3937,4.563,5.33,4.514,2.462,40.538,Low fat yogurt
1.17,3.5534,4.487,4.582,5.232,2.436,41.954,Regular yogurt
1.177,1.9233,4.426,4.388,4.601,2.633,41.381,Low fat yogurt
0.981,3.4328,4.495,4.488,4.307,2.651,40.919,Regular yogurt
0.954,1.5229,4.595,4.574,4.297,2.49,40.698,Low fat yogurt
1.11,2.1595,4.528,4.689,5.421,2.69,40.306,Low fat yogurt
0.992,2.9282,4.596,4.999,4.676,2.576,41.694,Low fat yogurt
1.113,1.1939,4.572,5.825,5.658,2.598,40.73,Low fat yogurt
0.956,1.4067,4.499,5.945,4.58,2.422,41.362,Low fat yogurt
1.042,2.4862,4.588,4.203,4.641,2.512,40.223,Low fat yogurt
1.107,1.8598,4.422,4.236,5.952,2.408,40.9,Low fat yogurt
0.951,2.1699,4.544,4.421,4.226,2.489,40.768,Low fat yogurt
1.178,1.5688,4.539,5.911,5.918,2.628,40.279,Low fat yogurt
1.023,3.2766,4.577,5.628,5.506,2.623,41.359,Regular yogurt
1.096,3.1887,4.578,5.067,5.072,2.427,41.874,Low fat yogurt
1.016,2.4542,4.469,5.843,5.752,2.43,41.949,Low fat yogurt
0.952,1.6427,4.429,5.267,5.995,2.43,40.637,Low fat yogurt
1.022,1.9416,4.472,4.573,5.606,2.425,40.506,Low fat yogurt
1.017,3.6733,4.47,4.5,4.444,2.608,41.686,Regular yogurt
1.106,1.1345,4.527,5.617,5.106,2.638,41.211,Low fat yogurt
0.985,3.8039,4.596,4.033,4.138,2.638,41.252,Regular yogurt
1.055,2.839,4.549,4.845,5.767,2.582,40.738,Low fat yogurt
0.997,2.7747,4.468,4.51,4.882,2.609,40.525,Low fat yogurt
